Country,Corruption Index,GDP per capita
Somalia,11,268.2610784
South Sudan,13,1099.387927
Syria,13,1826.194408
Venezuela,13,17043.47749
Yemen,16,798.7272022
Equatorial Guinea,17,6583.510823
Haiti,17,733.6197458
Nicaragua,17,1801.987466
North Korea,17,1231.327928
Libya,18,7644.398739
Turkmenistan,18,6338.454471
Afghanistan,20,464.4280237
Burundi,20,233.7031786
Chad,20,731.0462187
Comoros,20,1417.023804
Congo,20,1812.365609
Myanmar,20,1404.334205
Sudan,20,403.2555833
Tajikistan,20,815.5129608
Eritrea,21,560.5276029
Cambodia,22,1615.556121
Guinea Bissau,22,636.5933962
Republic of the Congo,22,1812.365609
Azerbaijan,23,3853.261754
Guatemala,23,4419.339191
Honduras,23,2405.418598
Iraq,23,5260.998766
Bangladesh,24,1786.596316
Central African Republic,24,397.9655963
Iran,24,5029.276289
Australia,75.00000002,53608.0709
